model,dataset,severity,confidence,src,mt,ref,error_text
GEMINI,ksaembassyrougemini_error_analysis_output.json,critical,0.263671875,صاحب السمو الملكي الأمير محمد بن سلمان بن عبدالعزيز ال سعود، ولي العهد رئيس مجلس الوزراء، يبعث رسالة خطية الى دولة رئيس وزراء رومانيا السيد/ نيكولاي تشوكا، وقد قام سفير خادم الحرمين الشريفين لدى رومانيا د. محمد بن عبدالغني خياط، بتسليم الرسالة الى مستشار رئيس وزراء رومانيا السيد/ يوليان تشيفو، بالنيابة عن دولة رئيس الوزراء الروماني.,"Alteța Sa Regală Prințul Mohammed bin Salman bin Abdulaziz Al Saud, Prinț Moștenitor și Prim-Ministru, a trimis o scrisoare oficială către Prim-Ministrul României, domnul Nicolae Ciucă.  Scrisoarea a fost remisă de către ambasadorul Custodelui celor Două Sfinte Moschei în România, domnul dr. Mohammed bin Abdulghani Khayat, consilierului Prim-Ministrului României, domnul Iulian Chifu, în numele Prim-Ministrului român.","Alteța Sa Regală Prințul Mohammed bin Salman bin Abdulaziz Al Saud, Prinț Moștenitor și Prim-ministru al Regatului Arabiei Saudite, a trimis un mesaj scris Prim-ministrului #României, domnului Nicolae Ciucă. Excelența Sa Dl. Iulian Chivu, Consilierul Prim-ministrului #României, a primit în numele premierului, scrisoarea de la Excelența Sa Dl. Dr. Mohammed bin Abdulghani Khayat, Ambasadorul Regatului Arabiei Saudite la #București.",fu
LLAMA_PRE,from_training_dataset_llm_error_analysis_output.json,critical,0.265380859375,عزيزي ، هو يستطيع أن يتذوق الفرق بينهم ، لقد حاولت ذلك,"Dragă, el poate gusta diferența dintre ei, am încercat să fac asta","Dragă, îşi dă seama de diferenţă.",am
OPENNMT_LEALLA,conventia_geneva,critical,0.2685546875,يكون لممثلي الدولة الحامية حق حضور جلسات أي محكمة تحاكم شخصاً محمياًء إلا إذا جرت المحاكمةء بصفة استثنائيةء بطريقة سرية مراعاة لأمن دولة الاحتلال التي يتعين عليها في هذه الحالة أن تخطر الدولة الحامية بذلك. .ويرسل إلى الدولة الحامية إخطار بمكان وتار يخ بدء المحاكمة,"Reprezentanții statului protector au dreptul de a participa la ședințele oricărui tribunal care judecă o persoană protejată, cu excepția cazului în care procesul se desfășoară în mod deosebit în mod confidențial, sub rezerva securității statului ocupant, care, în acest caz, trebuie să notifice statul protector.","Reprezentanții Puterii protectoare vor avea dreptul să participe la procesul oricărei persoane protejate, în afară de cazul când dezbaterile trebuie, în mod excecpțional, să aibă loc în secret, în interesul securității Puterii ocupante; aceasta va aviza, în acest caz, Puterea protectoare. O nmnotificare conținând indicarea locului şi a datei procesului va trebui să fie trimisă Puterii protectoare.",mod
GEMINI,ksaembassyrougemini_error_analysis_output.json,critical,0.27001953125,استقبل نائب رئيس البرلمان ورئيس حزب العمل والتضامن في جمهورية #مولدوفا السيد/ بوبيسكو ميهايل، سفير خادم الحرمين الشريفين لدى #رومانيا د. محمد بن عبد الغني خياط، وقد تم خلال اللقاء مناقشة تعزيز التعاون بين البلدين في مختلف المجالات.,"Vicepreședintele Parlamentului și președintele Partidului Muncii și Solidarității din Republica Moldova, dl. Popescu Mihail, l-a primit pe ambasadorul Custodelui celor Două Sfinte Moschei în România, dl. dr. Mohammed bin Abdulghani Khayat.  În cadrul întâlnirii au fost discutate modalitățile de intensificare a cooperării bilaterale în diverse domenii.","Vicepreședintele Parlamentului și Președintele Partidului Acțiune și Solidaritate din Republica #Moldova, domnul Popșoi Mihail, l-a primit pe Ambasadorul Custodelui celor Două Sfinte Moschei în #România, dr. Muhammad bin Abdul Ghani Khayyat. În cadrul întâlnirii s-a discutat despre consolidarea cooperării dintre cele două țări în diferite domenii.",yat
LLAMA_PRE,from_training_dataset_llm_error_analysis_output.json,major,0.256591796875,يشار إلى أن قضاء القائم الذي يقع في أقصى غرب محافظة الأنبار الصحراوية الممتدة إلى تخوم بغداد، كان لمدة طويلة منطقة تهريب حيث تسكن عشائر على جانبي الحدود.,"Se pare că districtul Al-Qaim, situat în partea de vest a guvernatoratului Anbar, care se întinde până la granița cu Bagdad, a fost o zonă de contrabandă timp de mulți ani, unde triburile trăiau de ambele părți ale frontierei","Al-Qaim, situat în vestul extrem al provinciei deşertice irakiene Anbar, care se întinde până la marginea Bagdadului, este de mult timp o zonă de contrabandă, în care trăiesc triburi de o parte şi de alta a frontierei.",guvern
GPT4,ksaembassyrougpt4_error_analysis_output.json,major,0.264892578125,استقبل نائب رئيس الوزراء وزير خارجية جمهورية #مولدوفا السيد/نيكو بوبيسكو، سفير خادم الحرمين الشريفين لدى #رومانيا د. محمد بن عبدالغني خياط، وجرى خلال اللقاء مناقشة الموضوعات المشتركة وبحث أوجه التعاون بين البلدين.,"Viceprim-ministrul și ministrul afacerilor externe al Republicii Moldova, domnul Nicu Popescu, l-a primit pe ambasadorul Custodelui celor Două Moschei Sfinte în România, dr. Mohammed bin Abdulghani Khayyat, și în cadrul întâlnirii au fost discutate subiecte comune și s-au explorat aspectele cooperării dintre cele două țări.","Viceprim-ministrul și ministrul Afacerilor Externe al Republicii Moldova, domnul Nicu Popescu, l-a primit pe Ambasadorul Custodelui celor Două Sfinte Moschei în România, dr. Mohammad bin Abdul Ghani Khayyat. În cadrul întâlnirii au fost discutate subiecte comune și aspecte ale cooperării dintre cele două țări.",Sf
GPT4,ksaembassyrougpt4_error_analysis_output.json,major,0.27197265625,حضر سفير خادم الحرمين الشريفين لدى رومانيا د. محمد بن عبدالغني خياط مأدبة عشاء على شرف وزير الدولة للشؤون الخارجية والمغتربين الفلسطيني الدكتورة/ فارسين أوهانيس أغابيكيان، الذي أقامته السفارة الفلسطينية لمعاليها خلال زيارتها الرسمية إلى دولة رومانيا.,"Ambasadorul Serviciului celor două Moschei Sfinte în România, Dr. Muhammad bin Abdulghani Khayyat, a participat la un dineu în onoarea ministrului de stat pentru afaceri externe și diaspora palestiniană, doctora Varseen Ohannis Agabekian, organizat de ambasada palestiniană pentru Excelența Sa în timpul vizitei sale oficiale în România.","Ambasadorul Custodelui celor Două Sfinte Moschei în România, Dr. Mohammed bin Abdulghani Khayat, a participat la un dineu oferit de Ambasada Palestinei în onoarea ministrului de stat pentru afaceri externe și expatriați al Palestinei, dr. Varsen Ohannes Aghabekian, care se află în vizită oficială în România.",Aga
GPT4,ksaembassyrougpt4_error_analysis_output.json,major,0.2724609375,استقبل نائب رئيس الوزراء وزير خارجية جمهورية #مولدوفا السيد/نيكو بوبيسكو، سفير خادم الحرمين الشريفين لدى #رومانيا د. محمد بن عبدالغني خياط، وجرى خلال اللقاء مناقشة الموضوعات المشتركة وبحث أوجه التعاون بين البلدين.,"Viceprim-ministrul și ministrul afacerilor externe al Republicii Moldova, domnul Nicu Popescu, l-a primit pe ambasadorul Custodelui celor Două Moschei Sfinte în România, dr. Mohammed bin Abdulghani Khayyat, și în cadrul întâlnirii au fost discutate subiecte comune și s-au explorat aspectele cooperării dintre cele două țări.","Viceprim-ministrul și ministrul Afacerilor Externe al Republicii Moldova, domnul Nicu Popescu, l-a primit pe Ambasadorul Custodelui celor Două Sfinte Moschei în România, dr. Mohammad bin Abdul Ghani Khayyat. În cadrul întâlnirii au fost discutate subiecte comune și aspecte ale cooperării dintre cele două țări.",ghani
LLAMA_TRAINED,drepturile_economice_culturalellm_trained_error_analysis_output.json,minor,0.257080078125,الجزء الخامس,Capitolul 5: Cum să vă găsiți fericirea,Partea A CINCEA,Capitol
OPENNMT_LEALLA,arabia_saudita_guvern,minor,0.263671875,2 ضريبة الدخل بما فيها ضريبة استثمار الغاز الطبيعي.,"2 Impozit pe venit, inclusiv impozitul pe investiții de gaze naturale.",(ii) impozitul pe profit;,venit
GPT4,from_training_dataset_gpt4_error_analysis_output.json,minor,0.2666015625,تعود إلى منتصف القرن 19 من يريد البدء بالمزايدة؟,Întoarceți-vă la mijlocul secolului al XIX-lea. Cine vrea să înceapă licitația?,Cine vrea să înceapă licitaţia? Două lire careva?,toarceți
MISTRAL_PRE,from_training_dataset_mistral_pre_error_analysis_output.json,minor,0.270263671875,عزيزي ، هو يستطيع أن يتذوق الفرق بينهم ، لقد حاولت ذلك,"Dragă, el poate distinge între ele, am încercat să fac asta","Dragă, îşi dă seama de diferenţă.",fac
